Name,Year,Oscars_ID,Won,imdb_rating,imdb_votes,box_office,metascore,rotten_tomatoes_rating
The Yearling,1946,19,No,7.2,"6,335",,89,100
Gentleman's Agreement,1947,20,Yes,7.2,"17,524",,N/A,82
The Bishop's Wife,1947,20,No,7.6,"20,648",,73,85
Crossfire,1947,20,No,7.3,"9,512",,N/A,88
Great Expectations,1946,20,No,7.8,"26,035",,90,100
Miracle on 34th Street,1947,20,No,7.9,"54,651",,88,96
Hamlet,1948,21,Yes,7.6,"18,116",,82,96
Johnny Belinda,1948,21,No,7.7,"5,228",,N/A,91
The Red Shoes,1948,21,No,8.1,"38,553",,N/A,99
The Snake Pit,1948,21,No,7.6,"8,312",10000000,76,100
The Treasure of the Sierra Madre,1948,21,No,8.2,"131,074",5014000,98,100
All the King's Men,1949,22,Yes,7.4,"16,268",,N/A,97
Battleground,1949,22,No,7.4,"7,740",,N/A,78
The Heiress,1949,22,No,8.1,"17,000",,N/A,
A Letter to Three Wives,1949,22,No,7.7,"10,537",,N/A,95
Twelve O'Clock High,1949,22,No,7.7,"15,621",,N/A,96
All About Eve,1950,23,Yes,8.2,"137,565",63463,98,99
Born Yesterday,1950,23,No,7.5,"12,236",,N/A,97
Father of the Bride,1950,23,No,7.1,"12,370",8838592,76,90
King Solomon's Mines,1950,23,No,6.7,"6,849",,N/A,93
Sunset Boulevard,1950,23,No,N/A,N/A,,N/A,
An American in Paris,1951,24,Yes,7.2,"36,433",267824,83,95
Decision Before Dawn,1951,24,No,7.2,"2,915",,N/A,100
A Place in the Sun,1951,24,No,7.7,"24,362",,76,82
Quo Vadis,1951,24,No,7.1,"16,457",,65,83
A Streetcar Named Desire,1951,24,No,7.9,"113,334",,97,97
The Greatest Show on Earth,1952,25,Yes,6.5,"15,783",36000000,76,50
High Noon,1952,25,No,8.0,"108,994",,89,94
Ivanhoe,1952,25,No,6.7,"10,093",,75,79
Moulin Rouge,1952,25,No,7.0,"6,363",,N/A,73
The Quiet Man,1952,25,No,7.7,"41,504",10550000,85,91
From Here to Eternity,1953,26,Yes,7.6,"50,375",36416,85,88
Julius Caesar,1953,26,No,7.2,"12,599",,N/A,96
The Robe,1953,26,No,6.7,"11,337",36000000,N/A,38
Roman Holiday,1953,26,No,8.0,"146,161",,78,95
Shane,1953,26,No,7.6,"43,503",,85,97
On the Waterfront,1954,27,Yes,8.1,"162,955",,91,99
The Caine Mutiny,1954,27,No,7.7,"29,480",21750000,63,93
The Country Girl,1954,27,No,7.2,"6,500",,N/A,75
Seven Brides for Seven Brothers,1954,27,No,7.3,"26,789",,75,89
Three Coins in the Fountain,1954,27,No,6.3,"3,676",,N/A,60
Marty,1955,28,Yes,7.7,"26,608",,N/A,96
Love Is a Many-Splendored Thing,1955,28,No,6.4,"5,270",,N/A,53
Mister Roberts,1955,28,No,7.6,"18,057",21200000,72,93
Picnic,1955,28,No,7.0,"9,655",,N/A,50
The Rose Tattoo,1955,28,No,6.9,"4,511",4200000,N/A,63
Around the World in 80 Days,1956,29,Yes,6.7,"29,315",42000000,69,72
Friendly Persuasion,1956,29,No,7.3,"7,589",,N/A,89
Giant,1956,29,No,7.6,"41,788",32855818,84,88
The King and I,1956,29,No,7.4,"27,714",21300000,72,93
The Ten Commandments,1956,29,No,7.9,"76,067",65500000,N/A,84
The Bridge on the River Kwai,1957,30,Yes,8.1,"231,414",27200000,87,96
